Name,Image,Status,Municipality,first lit,automated,Tower height,focal height (m),Range (nm),Owned by,Protected,Coordinates
Strømtangen K,,Active,Kragerø,1874,1962,8.8,7.6,10.4,Kystverket,Yes,58.837135°N 9.465722°E
Strømtangen F,,Active,Fredrikstad,1859,1977,6.9,11.3,11.5,Kystverket,No,59.151115°N 10.829515°E
Støtt,,1954,Meløy,1867,NA,12.5,15,12.5,Kystverket,No,66.926032°N 13.45087°E
Storholmen,,Active,Giske,1920,1980,22,35.6,17,Kystverket,No,62.643596°N 5.926359°E
Store Torungen,,Active,Arendal,1844,2004,34.3,43.3,18.5,Kystverket,Yes,58.399651°N 8.79186°E
Store Færder,,In ruins,Tjøme,1696,NA,,,,Kystverket,In ruins,59.073698°N 10.522928°E
Stavseng,,Active,Kragerø,1874,1968,16.7,25.7,12,Kystverket,Yes,58.851887°N 9.455445°E
Stavernsodden,,Active,Larvik,1855,1984,8.5,43.9,14.9,Kystverket,Yes,58.987573°N 10.052404°E
Stavenes,,Active,Averøy,1842,1976,4,21.7,14.3,Kystverket,No,63.115631°N 7.668657°E
Stangholmen,,Active,Risør,1855,1949,9.1,10.4,8.5,Risør,No,58.709804°N 9.245136°E
Stabben,,Active,Flora,1867,1975,15.6,16.2,13,Kystverket,Yes,61.601129°N 4.956565°E
Songvår,,Active,Søgne,1888,1987,10,23.2,14.5,Kystverket,No,58.016832°N 7.813263°E
Søndre Katland,,Active,Farsund,1878,1948,14.5,19.4,8.9,Kystverket,No,58.066751°N 6.868474°E
Slettnes,,Active,Gamvik,1905,2005,39,44,17.6,Kystverket,Yes,71.090306°N 28.22508°E
Sletringen,,Active,Frøya,1899,1993,45,46,18.5,Kystverket,Yes,63.666656°N 8.264735°E
Slåtterøy,,Active,Bømlo,1859,2003,25.1,45.8,18.5,Kystverket,Yes,59.909002°N 5.070315°E
Skudenes,,1924,Karmøy,1799,1924,6.5,22,12.5,Private,Yes,59.141394°N 5.294403°E
Skrova,,Active,Vågan,1922,2005,24.5,41,18,Kystverket,Yes,68.153631°N 14.651908°E
Skongenes,,Active,Vågsøy,1870,1985,10,19.5,13.9,Kystverket,No,62.033029°N 5.125022°E
Skomvær,,Active,Røst,1887,1978,31.7,47,18.9,Kystverket,Yes,67.412129°N 11.879002°E
Sklinna,,Active,Leka,1910,2004,14.3,45,18.5,Kystverket,Yes,65.20496°N 11.005889°E
Skansen Lighthouse,,,Trondheim,,,,,,,,
Skalmen,,Active,Smøla,1907,2002,15.5,24,14.8,Kystverket,No,63.48199°N 7.791236°E
